   575 Renate           -           LS 83  1 0  0 -        sef0ff  10.90 2.5547 0.0893 0.2594 02.5551 0.1260  15.0145
   576 Emanuela         -           CX 60  2 0  0 CX       s3864d  09.40 2.9859 0.1757 0.1896 02.9854 0.1983  10.2317
   581 Tauntonia        -           X  70  1 0  0 -        sbede0  09.40 0.0000 0.0000 0.0000 03.2111 0.0295  21.8901
   590 Tomyris          -           S  80  1 0  0 -        s07a8f  09.90 3.0006 0.0824 0.1730 02.9994 0.0774  11.1780
   605 Juvisia          -           X  83  1 0  0 -        s0a992  09.90 0.0000 0.0000 0.0000 02.9968 0.1421  19.6615
   607 Jenny            -           X  98  1 0  0 -        s21f8f  09.50 2.8521 0.1115 0.1966 02.8512 0.0780  10.1126
   614 Pia              -           C  73  1 0  1 -        sc1a6c  11.00 2.6940 0.0887 0.1329 02.6933 0.1097  07.0290
   616 Elly             -           L  93  1 0  0 -        sed3bb  10.68 2.5526 0.0963 0.2596 02.5528 0.0588  14.9602
   620 Drakonia         -           C  44  1 0  0 -        s26047  11.28 2.4354 0.1003 0.1329 02.4360 0.1346  07.7336
   628 Christine        -           X  44  1 0  0 -        sbc3c4  09.25 2.5818 0.0263 0.1838 02.5826 0.0448  11.5304
   630 Euphemia         -           S  96  2 1  0 LS       sc22e8  11.00 2.6235 0.1513 0.2225 02.6233 0.1135  13.8486
   634 Ute              -           X  98  1 0  0 -        sd82a2  09.60 3.0473 0.1551 0.1928 03.0420 0.1883  12.2926
   641 Agnes            -           S  99  1 0  0 -        s424dd  12.10 2.2199 0.1337 0.0189 02.2198 0.1291  01.7126
   642 Clara            -           L  90  1 0  0 -        sb586e  09.98 3.1805 0.1490 0.1438 03.2035 0.1184  08.1253
   651 Antikleia        -           L  98  1 0  0 -        s438f2  10.01 3.0244 0.0723 0.1759 03.0250 0.0967  10.7676
   655 Briseis          -           S  91  1 0  0 -        sd650a  09.60 2.9891 0.0652 0.0970 02.9863 0.0913  06.5059
   656 Beagle           -           C  17  1 0  0 -        s1886c  10.00 3.1560 0.1534 0.0233 03.1489 0.1359  00.5142
   663 Gerlinde         -           C  00  2 1  0 CX       se4ae8  09.21 0.0000 0.0000 0.0000 03.0622 0.1531  17.8496
   664 Judith           -           CX 24  2 0  0 CX       scfaef  09.97 3.1768 0.2432 0.1537 03.2085 0.2191  08.5946
